1,Z3D001,PICK UP,21,3.000,7.000,Pick Up capacity 3 - 7 Cbm,NULL,NULL,NULL,NULL,NULL,NULL
2,Z3D002,CD 4 BAN (CDE),21,10.000,25.000,Colt Diesel 4 Wheel capacity 10 - 25 Cbm,NULL,NULL,NULL,NULL,NULL,NULL
3,Z3D003,CD 6 BAN (CDD),21,25.000,32.000,Colt Diesel 6 Wheel capacity 25 -  35 Cbm,NULL,NULL,NULL,NULL,NULL,NULL
4,Z3D004,FUSO,22,28.000,36.000,Fuso capacity 28 - 36 Cbm,NULL,NULL,NULL,NULL,NULL,NULL
5,Z3D005,WING BOX,23,40.000,46.000,Wing Box capacity 40 - 46 Cbm,NULL,NULL,NULL,NULL,NULL,NULL
6,Z3D006,CONT 20,24,25.000,28.000,Cont 20 ft capacity 25 - 28 Cbm,NULL,NULL,NULL,NULL,NULL,NULL
7,Z3D007,CONT 40 (STANDAR),24,55.000,60.000,Cont 40 ft STD capacity 55 - 60 Cbm,NULL,NULL,NULL,NULL,NULL,NULL
8,Z3D008,CONT 45,24,55.000,75.000,Cont 45 ft capacity  55 - 75 cbm,NULL,NULL,NULL,NULL,NULL,NULL
9,Z3D009,CONT 40 (HC),24,55.000,65.000,Cont 40 ft HC capacity 55 - 65 Cbm,NULL,NULL,NULL,NULL,NULL,NULL
10,Z3D010,CONT 20 COMBO,24,50.000,56.000,Cont 20 combo capacity  50 - 56 cbm,NULL,NULL,NULL,NULL,NULL,NULL
11,Z3D011,TRONTON BOX ( 7 M),25,25.000,35.000,Tronton Box 7 M capacity 25 - 35 cbm,NULL,NULL,NULL,NULL,NULL,NULL
12,Z3D012,TRONTON 7 M,25,35.000,40.000,Tronton 7 M capacity 35 - 40 cbm,NULL,NULL,NULL,NULL,NULL,NULL
13,Z3D013,TRONTON 8 M,25,45.000,55.000,Tronton 8 M capacity 40 - 55 cbm,NULL,NULL,NULL,NULL,NULL,NULL
14,Z3D014,TRONTON 9 M,25,55.000,60.000,Tronton 9 M capacity 55 - 60 cbm,NULL,NULL,NULL,NULL,NULL,NULL
15,Z3D015,TRONTON 10 M,25,60.000,65.000,Tronton 10 M capacity 60 - 65 cbm,NULL,NULL,NULL,NULL,NULL,NULL
16,Z3D016,TRONTON 11 M,25,65.000,70.000,Tronton 11 M capacity 65 - 70 cbm,NULL,NULL,NULL,NULL,NULL,NULL
17,Z3D017,TRONTON 12 M,25,70.000,80.000,Tronton 12 M capacity 70 - 80 cbm,NULL,NULL,NULL,NULL,NULL,NULL
18,Z3D018,TRONTON 14 M,25,80.000,90.000,Tronton 14 M capacity 80 - 90 cbm,NULL,NULL,NULL,NULL,NULL,NULL
19,Z3D021,TRAILER 50,26,45.000,55.000,Trailer 50 capacity 45 - 55 cbm,NULL,NULL,NULL,NULL,NULL,NULL
20,Z3D022,TRAILER 70,26,65.000,75.000,Trailer 70 capacity 65 - 75 cbm,NULL,NULL,NULL,NULL,NULL,NULL
21,Z3D023,TRAILER 80,26,75.000,85.000,Trailer 80 capacity 75 - 85 cbm,NULL,NULL,NULL,NULL,NULL,NULL
22,Z3D024,TRAILER 90,26,85.000,95.000,Trailer 90 capacity 85 - 95 cbm,NULL,NULL,NULL,NULL,NULL,NULL
24,Z3D025,CONT 10,24,10.000,15.000,Cont 10 ft capacity 10 - 15 cbm,NULL,NULL,NULL,NULL,NULL,NULL
25,LCL,CONT,24,1.000,75.000,Less than Container Load,NULL,NULL,NULL,NULL,NULL,NULL
26,Z3D099,AMBIL SENDIRI,21,0.000,25.000,HAND CARRY,NULL,NULL,NULL,NULL,NULL,NULL
27,Z3D026,CD 4 BOX (CDE BOX),21,7.000,14.000,Colt Diesel 4 Wheel BOX 7-14Cbm,NULL,NULL,NULL,NULL,NULL,1
28,Z3D027,CONT 20 (BY TRAIN),24,25.000,28.000,Cont 20 ft capacity 25 - 28 Cbm (By Train),NULL,NULL,NULL,NULL,NULL,0
